name,rating,num_reviews,category,price_level
Corpo Santo Lisbon Historical Hotel,4.9,4398,Hotel,$$$$
Santiago De Alfama - Boutique Hotel,4.9,1639,Hotel,$$$$
Martinhal Lisbon Chiado Family Suites,4.9,662,Hotel,$$$$
Hotel Avenida Palace,4.8,5028,Hotel,$$$$
"Hotel Britania Art Deco, a Lisbon Heritage Collection",4.8,3427,Hotel,$$$$
Seventh Brunch Chiado,4.9,1153,Restaurant,$$ - $$$
Sto Restaurante & Mercearia,4.9,1006,Restaurant,$$ - $$$
Antikuario Cafe,4.9,746,Restaurant,$$ - $$$
Grenache,4.7,271,Restaurant,$$$$
Sala De Joao Sa,4.7,265,Restaurant,$$$$
Belcanto,4.6,2248,Restaurant,$$$$
Alma Henrique Sa Pessoa,4.6,1155,Restaurant,$$$$
Solar dos Presuntos,4.3,6553,Restaurant,$$$$
JNcQUOI Avenida,4.3,1285,Restaurant,$$$$
Eleven Restaurant,4.0,1227,Restaurant,$$$$
Time Out Market Lisboa,4.3,25050,Attraction,—
Inside Lisbon Tours,4.8,11966,Attraction,—
Calouste Gulbenkian Museum,4.6,8709,Attraction,—
EcoMassage Lisbon,4.9,1553,Attraction,—
Nosso Tejo,4.8,2734,Attraction,—
